ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Abundancia (ind/m3),Biomasa                       (mg C/m3),Peso             (g),Talla (mm),Nombre común,Hábitat,Dominio,Referencia,Enlace
19,Chordata,Ascidiacea,NA,NA,NA,Ascidiacea*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
20,Mollusca,Polyplacophora,NA,NA,NA,Polyplacophora*,,,,,Poliplacóforos,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
21,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice*,,,,,Gusanos de cerdas,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
22,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Lithothamnion,Lithothamnion*,,,,,Alga roja,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
23,Annelida,Polychaeta,Canalipalpata,Chaetopteridae,Chaetopterus,Chaetopterus*,,,,,Gusano tubo de pergamino,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
24,Annelida,Polychaeta,Canalipalpata,Serpulidae,NA,Serpulidae*,,,,,Serpúlidos,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
25,Echinodermata,Echinoidea,NA,NA,NA,Echinoidea*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
26,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Messophyllum,Messophyllum*,,,,,Alga roja,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
27,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_variegata,,,,,Carola,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
28,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_astrosanguinea,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
29,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,Iridaea_codata,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
30,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida_subrugosa,,,,,Langosta,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
31,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis_pyrifera,,,,,Kelp,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
32,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,Peltarion,Peltarion_spinosulum,,,,,Cangrejo peludo,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
33,Chordata,Actinopterygii,Perciformes,Nototeniidae,NA,Nototeniidae*,,,,,NA,Pelágico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
34,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Cosmasterias,Cosmasterias_lurida,,,,,Estrella vioeta,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
35,Cnidaria,Anthozoa,NA,NA,NA,Anthozoa*,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
36,Mollusca,Gastropoda,Neogastropoda,Muricidae,Trophon,Trophon*,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
37,Echiodermata,Echinoidea,Temnopleuroida,Temnopleuridae,Pseudechinus ,Pseudechinus_magellanicus,,,,,Erizo de mar ,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
38,Echiodermata,Echinoidea,Echinoida,Echinidae,Loxechinus,Loxechinus_albus,,,,,Erizo de mar chileno,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
39,Mollusca,Gastropoda,Trochida,Calliostomatidae,Photinula,Photinula_caerulescens,,,,,NA,,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
40,Echinodermata,Ophiruidea,Ophiacanthida ,Ophiacanthidae,Ophiacantha,Ophiacantha_vivipara,,,,,Ofiura,,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
41,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus_gaudichaudii,,,,,Cangrejo ermitaño,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
42,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus_comptus,,,,,Cangrejo eritaño patagónico,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
43,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Terebratula,Terebratula_dorsata,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
44,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Magellonia,Magellonia_venosa,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
45,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caliptraea,Caliptraea_pileolus,,,,,Sombreritos chinos,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
46,Mollusca,Bivalvia,Pectinoida,Pectinidae,Chlamys,Chlamys_patagonica,,,,,Vieira patagónica,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
47,Mollusca,Bivalvia,Pectinoida,Pectinidae,Chlamys,Chlamys_vitrea,,,,,Vieira,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
48,Bryozoa,Cyclostomata,NA,NA,NA,Cyclostomata*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
49,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Reteporella,Reteporella_magellenesis,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
50,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva_lactuca,,,,,Lechuga de mar,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
51,Arthropoda,Malacostraca,Brachyura,NA,NA,Brachyura*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
52,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polisiphonia,Polisiphonia_anisogona,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
53,Arthropoda,Malacostraca,Decapoda,Inachidae,Eurypodius,Eurypodius_latreilli,,,,,Cangrejo,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
54,Mollusca,Gastropoda ,Neogastropoda,Cominellidae ,Pareuthria,Pareuthria_plumbea,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
55,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis*,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
56,Ochrophyta,Phaeophyceae ,Laminariales ,Lessoniaceae,Lessonia,Lessonia*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
57,Mollusca,Bivalvia,Veneridae ,Venerida,Venus,Venus_antiqua,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
58,Mollusca,Bivalvia,Anomalodesmata ,Laternulidae,Laternula,Laternula*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
59,Cnidaria,Hydrozoa,NA,NA,NA,Hydrozoa*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
60,Bryozoa,Gymnolaemata ,Cheilostomatida,Flustridae ,Carbasea,Carbasea_ovoidea,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
61,Echinodermata,Holothuroidea,Aspidochirotida,Cymatiidae,Fussitriton,Fussitriton*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
62,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,Serpula_narconensis,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
63,Bryozoa ,Stenolaemata ,Cyclostomatida,Horneridae ,Hornera,Hornera*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
64,Bryozoa ,Gymnolaemata ,Cheilostomatida,Adeonidae ,Adeonella,Adeonella*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
65,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Solaster_regularis,,,,,Estrella de sol,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
66,Echinodermata,Holothuroidea ,Dendrochirotida,NA,NA,Dendrochirotida*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
67,Echinodermata,Ophiuroidea,Ophiurida ,Ophiuridae,Ophiuroglypha,Ophiuroglypha_lymani,,,,,Ofiura rosada,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
68,Echinodermata,Echinoidea,Spatangoida ,Schizasteridae,Trypilaster,Trypilaster*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
69,Echinodermata,Ophiuroidea,Ophiurida ,Ophiuridae,Ophiocten,Ophiocten_amitinum,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
70,Porifera,Demospongiae,Haplosclerida,NA,NA,Haplosclerida*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
71,Echinodermata,Asteroidea,Valvatida,Solasteridae,Lophaster,Lophaster*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
72,Mollusca,Gastropoda,Neogastropoda,Volutidae,Odontocymbiola,Odontocymbiola*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
73,Bryozoa,Gymnolaemata ,Cheilostomatida ,Flustridae,NA,Flustridae*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
74,Arthropoda,Malacostraca,Isopoda,Serolidae,NA,Serolidae*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
75,Rhodophyta ,Florideophyceae,Gelidiales ,Gelidiaceae,Gellidus,Gellidus_rudis,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
76,Echinodermata,Asteroidea,Forcipulatida ,Heliasteridae,Labidiaster,Labidiaster_radiosus,,,,,Estrella de rayos pegajosos,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
77,Echinodermata,Asteroidea,Valvatida ,Poraniidae,Porania,Porania_antartica,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
78,Cnidaria,Anthozoa,Malacalcyonacea ,Alcyoniidae,Alcyonidium,Alcyonidium_australe,,,,,NA,Bentónico,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
79,Echinodermata,Asteroidea,Valvatida,Asterinidae ,Ganeria,Ganeria*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
80,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Asterodon,Asterodon*,,,,,NA,NA,,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
