resource,consumer
Trophon plicatus,Anasterias antarctica
Halicarcinus planatus,Anasterias sp
Pagurus comptus,Anasterias sp
Pareuthria spp,Anasterias sp
Turbonilla strebeli,Anasterias sp
Harmothoe sp,Anasterias sp
Tonicia lebruni,Anasterias sp
Necromass,Andaniotes linearis
Detritus,Anobothrus sp
Detritus,Anthoptilum grandiflorum
Cyrtostrombidium sp,Anthoptilum grandiflorum
Laboea strobila,Anthoptilum grandiflorum
Lohmanniella sp,Anthoptilum grandiflorum
Strobilidium sp,Anthoptilum grandiflorum
Strombidinopsis sp,Anthoptilum grandiflorum
Strombidium spp,Anthoptilum grandiflorum
Diatoms benthic,Anthoptilum grandiflorum
Dinoflagellates heterosol,Anthoptilum grandiflorum
Bacteria,Aplidium spp
Emiliania huxleyi,Aplidium spp
Phaeocystis antarctica,Aplidium spp
Diatoms benthic,Aplidium spp
Diatoms centric,Aplidium spp
Diatoms pennate,Aplidium spp
Azadinium sp,Aplidium spp
Dinoflagellates heterosol,Aplidium spp
Gymnodinium sp,Aplidium spp
Detritus,Aplidium spp
Detritus,Appendicularia spp
Synechococcus sp,Appendicularia spp
Bacteria,Appendicularia spp
Emiliania huxleyi,Appendicularia spp
Phaeocystis antarctica,Appendicularia spp
Gymnodinium sp,Appendicularia spp
Orbiniidae,Appendicularia spp
Dinoflagellates heterosol,Appendicularia spp
Doryteuthis gahi,Arctocephalus australis
Enteroctopodidae,Arctocephalus australis
Grimothea gregaria,Arctocephalus australis
Dissostichus eleginoides,Arctocephalus australis
Macrourus carinatus,Arctocephalus australis
Macrourus holotrachys,Arctocephalus australis
Macrourus whitsoni,Arctocephalus australis
Macruronus novaezelandiae,Arctocephalus australis
Muraenolepis spp,Arctocephalus australis
Notophycis marginata,Arctocephalus australis
Patagonotothen cornucola,Arctocephalus australis
Patagonotothen elegans,Arctocephalus australis
Patagonotothen guntheri,Arctocephalus australis
Patagonotothen kreffti,Arctocephalus australis
Patagonotothen ramsayi,Arctocephalus australis
Coelorinchus fasciatus,Arctocephalus australis
Coelorinchus kayomaru,Arctocephalus australis
Coelorinchus marinii,Arctocephalus australis
Genypterus blacodes,Arctocephalus australis
Guttigadus kongi,Arctocephalus australis
Salilota australis,Arctocephalus australis
Micromesistius australis,Arctocephalus australis
Sprattus fuegensis,Arctocephalus australis
Themisto gaudichaudii,Ardenna gravis
Doryteuthis gahi,Ardenna gravis
Dissostichus eleginoides,Ardenna gravis
Necromass,Ardenna gravis
Euphausia spp,Ardenna gravis
Sprattus fuegensis,Ardenna gravis
Dissostichus eleginoides,Ardenna grisea
Necromass,Ardenna grisea
Themisto gaudichaudii,Ardenna grisea
Doryteuthis gahi,Ardenna grisea
Euphausia spp,Ardenna grisea
Sprattus fuegensis,Ardenna grisea
Poecilosclerida,Aristias antarcticus
Colossendeis megalonyx,Asbestopluma sp
Larvae Nauplii,Asbestopluma sp
Oithona spp,Asbestopluma sp
Bacteria,Ascidia meridionalis
Emiliania huxleyi,Ascidia meridionalis
Phaeocystis antarctica,Ascidia meridionalis
Diatoms benthic,Ascidia meridionalis
Diatoms centric,Ascidia meridionalis
Diatoms pennate,Ascidia meridionalis
Azadinium sp,Ascidia meridionalis
Dinoflagellates heterosol,Ascidia meridionalis
Gymnodinium sp,Ascidia meridionalis
Detritus,Ascidia meridionalis
Emiliania huxleyi,Astarte sp
Diatoms benthic,Astarte sp
Diatoms centric,Astarte sp
Diatoms pennate,Astarte sp
Alcyonium antarcticum,Astrotoma agassizii
Diatoms benthic,Astrotoma agassizii
Diatoms centric,Astrotoma agassizii
Diatoms pennate,Astrotoma agassizii
Foraminifera,Astrotoma agassizii
Detritus,Astrotoma agassizii
Euphausia spp,Astrotoma agassizii
Dictyocha speculum,Astrotoma agassizii
Puncturella conica,Austrocidaris canaliculata
Foraminifera,Austrocidaris canaliculata
Haplosclerida,Austrodoris sp
Detritus,Austrofilius furcatus
Detritus,Austrofilius sp
Detritus,Austronanus dentatus
Themisto gaudichaudii,Balaenoptera acutorostrata
Calanus spp,Balaenoptera acutorostrata
Euphausia spp,Balaenoptera acutorostrata
Sprattus fuegensis,Balaenoptera acutorostrata
Clausocalanus spp,Balaenoptera acutorostrata
Ctenocalanus vanus,Balaenoptera acutorostrata
Drepanopus forcipatus,Balaenoptera acutorostrata
Neocalanus tonsus,Balaenoptera acutorostrata
Oithona spp,Balaenoptera acutorostrata
Rhincalanus gigas,Balaenoptera acutorostrata
Grimothea gregaria,Balaenoptera acutorostrata
Grimothea spinosa,Balaenoptera acutorostrata
Micromesistius australis,Balaenoptera acutorostrata
Themisto gaudichaudii,Balaenoptera bonaerensis
Euphausia spp,Balaenoptera bonaerensis
Sprattus fuegensis,Balaenoptera bonaerensis
Calanus spp,Balaenoptera bonaerensis
Clausocalanus spp,Balaenoptera bonaerensis
Ctenocalanus vanus,Balaenoptera bonaerensis
Drepanopus forcipatus,Balaenoptera bonaerensis
Neocalanus tonsus,Balaenoptera bonaerensis
Oithona spp,Balaenoptera bonaerensis
Rhincalanus gigas,Balaenoptera bonaerensis
Themisto gaudichaudii,Balaenoptera borealis
Calanus spp,Balaenoptera borealis
Euphausia spp,Balaenoptera borealis
Sprattus fuegensis,Balaenoptera borealis
Clausocalanus spp,Balaenoptera borealis
Ctenocalanus vanus,Balaenoptera borealis
Drepanopus forcipatus,Balaenoptera borealis
Neocalanus tonsus,Balaenoptera borealis
Oithona spp,Balaenoptera borealis
Rhincalanus gigas,Balaenoptera borealis
Grimothea gregaria,Balaenoptera borealis
Grimothea spinosa,Balaenoptera borealis
Themisto gaudichaudii,Balaenoptera physalus
Calanus spp,Balaenoptera physalus
Euphausia spp,Balaenoptera physalus
Neocalanus tonsus,Balaenoptera physalus
Sprattus fuegensis,Balaenoptera physalus
Clausocalanus spp,Balaenoptera physalus
Ctenocalanus vanus,Balaenoptera physalus
Drepanopus forcipatus,Balaenoptera physalus
Oithona spp,Balaenoptera physalus
Rhincalanus gigas,Balaenoptera physalus
Grimothea gregaria,Balaenoptera physalus
Grimothea spinosa,Balaenoptera physalus
Cyrtostrombidium sp,Balticina africana
Laboea strobila,Balticina africana
Lohmanniella sp,Balticina africana
Strobilidium sp,Balticina africana
Strombidinopsis sp,Balticina africana
Strombidium spp,Balticina africana
Diatoms benthic,Balticina africana
Dinoflagellates heterosol,Balticina africana
Detritus,Balticina africana
Detritus,Bathybiaster loripes
Astrotoma agassizii,Bathybiaster loripes
Harmothoe sp,Bathybiaster loripes
Polyeunoa laevis,Bathybiaster loripes
Glycera spp,Bathyraja albomaculata
Tinerfe cyanea,Bathyraja albomaculata
Themisto gaudichaudii,Bathyraja albomaculata
Grimothea gregaria,Bathyraja albomaculata
Grimothea spinosa,Bathyraja albomaculata
Thymops birsteini,Bathyraja albomaculata
Dissostichus eleginoides,Bathyraja albomaculata
Patagonotothen ramsayi,Bathyraja albomaculata
Myxine spp,Bathyraja albomaculata
Travisia kerguelensis,Bathyraja albomaculata
Iluocoetes fimbriatus,Bathyraja brachyurops
Acanthoserolis schythei,Bathyraja brachyurops
Libidoclaea granaria,Bathyraja brachyurops
Tinerfe cyanea,Bathyraja brachyurops
Themisto gaudichaudii,Bathyraja brachyurops
Doryteuthis gahi,Bathyraja brachyurops
Enteroctopodidae,Bathyraja brachyurops
Lithodes confundens,Bathyraja brachyurops
Lithodes couesi,Bathyraja brachyurops
Lithodes turkayi,Bathyraja brachyurops
Grimothea gregaria,Bathyraja brachyurops
Cottoperca trigloides,Bathyraja brachyurops
Dissostichus eleginoides,Bathyraja brachyurops
Patagonotothen cornucola,Bathyraja brachyurops
Patagonotothen elegans,Bathyraja brachyurops
Patagonotothen guntheri,Bathyraja brachyurops
Patagonotothen ramsayi,Bathyraja brachyurops
Myxine spp,Bathyraja brachyurops
Micromesistius australis,Bathyraja brachyurops
Sprattus fuegensis,Bathyraja brachyurops
Euphausia spp,Bathyraja brachyurops
Grimothea spinosa,Bathyraja brachyurops
Bathyraja brachyurops,Bathyraja brachyurops
Macruronus novaezelandiae,Bathyraja brachyurops
Patagonotothen kreffti,Bathyraja brachyurops
Genypterus blacodes,Bathyraja brachyurops
Adelomelon ancilla,Bathyraja brachyurops
Argeneuthria varicosa,Bathyraja brachyurops
Odontocymbiola magellanica,Bathyraja brachyurops
Aglaophamus virginis,Bathyraja brachyurops
Lumbrineridae,Bathyraja brachyurops
Maldanidae,Bathyraja brachyurops
Nephtys sp,Bathyraja brachyurops
Pagurus comptus,Bathyraja cousseauae
Pagurus forceps,Bathyraja cousseauae
Neoserolis exigua,Bathyraja cousseauae
Acanthoserolis schythei,Bathyraja cousseauae
Tinerfe cyanea,Bathyraja griseocauda
Doryteuthis gahi,Bathyraja griseocauda
Grimothea gregaria,Bathyraja griseocauda
Grimothea spinosa,Bathyraja griseocauda
Thymops birsteini,Bathyraja griseocauda
Cottoperca trigloides,Bathyraja griseocauda
Dissostichus eleginoides,Bathyraja griseocauda
Patagonotothen cornucola,Bathyraja griseocauda
Patagonotothen elegans,Bathyraja griseocauda
Patagonotothen guntheri,Bathyraja griseocauda
Patagonotothen ramsayi,Bathyraja griseocauda
Bathyraja griseocauda,Bathyraja griseocauda
Bathyraja multispinis,Bathyraja griseocauda
Bathyraja scaphiops,Bathyraja griseocauda
Myxine spp,Bathyraja griseocauda
Psammobatis rudis,Bathyraja griseocauda
Micromesistius australis,Bathyraja griseocauda
Sprattus fuegensis,Bathyraja griseocauda
Euphausia spp,Bathyraja griseocauda
Themisto gaudichaudii,Bathyraja griseocauda
Pagurus comptus,Bathyraja griseocauda
Pagurus forceps,Bathyraja griseocauda
Libidoclaea granaria,Bathyraja griseocauda
Macruronus novaezelandiae,Bathyraja griseocauda
Genypterus blacodes,Bathyraja griseocauda
Odontocymbiola magellanica,Bathyraja griseocauda
Neoserolis exigua,Bathyraja griseocauda
Acanthoserolis schythei,Bathyraja griseocauda
Maldanidae,Bathyraja macloviana
Travisia kerguelensis,Bathyraja macloviana
Glycera spp,Bathyraja macloviana
Lumbrineridae,Bathyraja macloviana
Nephtys sp,Bathyraja macloviana
Tinerfe cyanea,Bathyraja macloviana
Nicolea chilensis,Bathyraja macloviana
Pista spp,Bathyraja macloviana
Terebellides malvinensis,Bathyraja macloviana
Thelepus sp,Bathyraja macloviana
Libidoclaea granaria,Bathyraja multispinis
Thymops birsteini,Bathyraja multispinis
Grimothea spinosa,Bathyraja multispinis
Pagurus comptus,Bathyraja multispinis
Neoserolis exigua,Bathyraja multispinis
Acanthoserolis schythei,Bathyraja multispinis
Nicolea chilensis,Bathyraja multispinis
Pista spp,Bathyraja multispinis
Terebellides malvinensis,Bathyraja multispinis
Thelepus sp,Bathyraja multispinis
Themisto gaudichaudii,Bathyraja scaphiops
Patagonotothen cornucola,Bathyraja scaphiops
Patagonotothen elegans,Bathyraja scaphiops
Patagonotothen guntheri,Bathyraja scaphiops
Patagonotothen ramsayi,Bathyraja scaphiops
Patagonotothen kreffti,Bathyraja scaphiops
Neoserolis exigua,Bathyraja scaphiops
Acanthoserolis schythei,Bathyraja scaphiops
Detritus,Boccardia sp
Orbiniidae,Boccardia sp
Bacteria,Boccardia sp
Diatoms benthic,Boccardia sp
Diatoms centric,Boccardia sp
Diatoms pennate,Boccardia sp
Foraminifera,Boccardia sp
Diatoms centric,Bryozoa
Diatoms pennate,Bryozoa
Dinoflagellates heterosol,Bryozoa
Detritus,Caecianiropsis ectiformis
Cyrtostrombidium sp,Calanus spp
Laboea strobila,Calanus spp
Lohmanniella sp,Calanus spp
Strobilidium sp,Calanus spp
Strombidinopsis sp,Calanus spp
Strombidium spp,Calanus spp
Diatoms pennate,Calanus spp
Rhizosolenia crassa,Calanus spp
Diatoms benthic,Calanus spp
Azadinium sp,Calanus spp
Dinoflagellates heterosol,Calanus spp
Gymnodinium sp,Calanus spp
Dictyocha speculum,Calanus spp
Detritus,Calanus spp
Emiliania huxleyi,Calanus spp
Phaeocystis antarctica,Calanus spp
Bacteria,Calcarea
Diatoms benthic,Calcarea
Diatoms centric,Calcarea
Diatoms pennate,Calcarea
Azadinium sp,Calcarea
Dinoflagellates heterosol,Calcarea
Foraminifera,Calcarea
Synechococcus sp,Calcarea
Dictyocha speculum,Calcarea
Diatoms benthic,Callochiton puniceus
Bryozoa,Callochiton puniceus
Detritus,Callochiton puniceus
Detritus,Campanularia sp
Diatoms benthic,Campylaspis spp
Diatoms centric,Campylaspis spp
Diatoms pennate,Campylaspis spp
Necromass,Campylaspis spp
Calanus spp,Campylaspis spp
Clausocalanus spp,Campylaspis spp
Ctenocalanus vanus,Campylaspis spp
Drepanopus forcipatus,Campylaspis spp
Neocalanus tonsus,Campylaspis spp
Detritus,Campylonotus vagans
Themisto gaudichaudii,Careproctus sp
Grimothea gregaria,Careproctus sp
Pagurus comptus,Careproctus sp
Careproctus sp,Careproctus sp
Detritus,Careproctus sp
Calanus spp,Careproctus sp
Convexella magelhaenica,Ceramaster patagonicus
Ideogorgia laurae,Ceramaster patagonicus
Primnoella scotiae,Ceramaster patagonicus
Primnoisis antarctica,Ceramaster patagonicus
Detritus,Chaetopterus antarcticus
Astrotoma agassizii,Cheiraster (Luidiaster) gerlachei
Ophiacantha sp,Cheiraster (Luidiaster) gerlachei
Ophiacantha vivipara,Cheiraster (Luidiaster) gerlachei
Detritus,Cheiraster (Luidiaster) gerlachei
Detritus,Cirratulidae
Foraminifera,Cirratulidae
Diatoms benthic,Cladodactyla crocea
Diatoms centric,Cladodactyla crocea
Diatoms pennate,Cladodactyla crocea
Detritus,Clathria spp
Cyrtostrombidium sp,Clausocalanus spp
Laboea strobila,Clausocalanus spp
Lohmanniella sp,Clausocalanus spp
Strobilidium sp,Clausocalanus spp
Strombidinopsis sp,Clausocalanus spp
Strombidium spp,Clausocalanus spp
Diatoms pennate,Clausocalanus spp
Rhizosolenia crassa,Clausocalanus spp
Diatoms benthic,Clausocalanus spp
Azadinium sp,Clausocalanus spp
Dinoflagellates heterosol,Clausocalanus spp
Gymnodinium sp,Clausocalanus spp
Dictyocha speculum,Clausocalanus spp
Diatoms benthic,Clavularia sp
Diatoms centric,Clavularia sp
Diatoms pennate,Clavularia sp
Foraminifera,Clavularia sp
Diatoms benthic,Cnemidocarpa spp
Diatoms centric,Cnemidocarpa spp
Diatoms pennate,Cnemidocarpa spp
Bacteria,Cnemidocarpa spp
Azadinium sp,Cnemidocarpa spp
Dinoflagellates heterosol,Cnemidocarpa spp
Gymnodinium sp,Cnemidocarpa spp
Detritus,Cnemidocarpa spp
Emiliania huxleyi,Cnemidocarpa spp
Phaeocystis antarctica,Cnemidocarpa spp
Doryteuthis gahi,Coelorinchus fasciatus
Eggs Fish,Coelorinchus fasciatus
Harmothoe sp,Coelorinchus fasciatus
Pagurus comptus,Coelorinchus fasciatus
Pagurus forceps,Coelorinchus fasciatus
Euphausia spp,Coelorinchus fasciatus
Themisto gaudichaudii,Coelorinchus fasciatus
Grimothea gregaria,Coelorinchus fasciatus
Harmothoe sp,Coelorinchus marinii
Doryteuthis gahi,Coelorinchus marinii
Grimothea gregaria,Coelorinchus marinii
Grimothea spinosa,Coelorinchus marinii
Foraminifera,Coelorinchus marinii
Glycera spp,Colossendeis megalonyx
Sabellidae,Colossendeis megalonyx
Bacteria,Convexella magelhaenica
Cyrtostrombidium sp,Convexella magelhaenica
Laboea strobila,Convexella magelhaenica
Lohmanniella sp,Convexella magelhaenica
Strobilidium sp,Convexella magelhaenica
Strombidinopsis sp,Convexella magelhaenica
Strombidium spp,Convexella magelhaenica
Diatoms benthic,Convexella magelhaenica
Dinoflagellates heterosol,Convexella magelhaenica
Detritus,Convexella magelhaenica
Diatoms centric,Copepodite
Diatoms pennate,Copepodite
Rhizosolenia crassa,Copepodite
Cyrtostrombidium sp,Copepodite
Laboea strobila,Copepodite
Lohmanniella sp,Copepodite
Strobilidium sp,Copepodite
Strombidinopsis sp,Copepodite
Strombidium spp,Copepodite
Foraminifera,Coperonus comptus
Detritus,Coperonus comptus
Austrocidaris canaliculata,Cosmasterias lurida
Austrocidaris spinulosida,Cosmasterias lurida
Pseudechinus magellanicus,Cosmasterias lurida
Schizasteridae,Cosmasterias lurida
Sterechinus agassizii,Cosmasterias lurida
Necromass,Cosmasterias lurida
Callochiton puniceus,Cosmasterias lurida
Leptochiton kerguelensis,Cosmasterias lurida
Leptochiton medinae,Cosmasterias lurida
Nuttallochiton hyadesi,Cosmasterias lurida
Nuttallochiton martiali,Cosmasterias lurida
Tonicia lebruni,Cosmasterias lurida
Grimothea gregaria,Cottoperca trigloides
Tinerfe cyanea,Cottoperca trigloides
Thymops birsteini,Cottoperca trigloides
Agonopsis chiloensis,Cottoperca trigloides
Cottoperca trigloides,Cottoperca trigloides
Dissostichus eleginoides,Cottoperca trigloides
Macruronus novaezelandiae,Cottoperca trigloides
Patagonotothen ramsayi,Cottoperca trigloides
Bathyraja albomaculata,Cottoperca trigloides
Bathyraja brachyurops,Cottoperca trigloides
Iluocoetes fimbriatus,Cottoperca trigloides
Sprattus fuegensis,Cottoperca trigloides
Necromass,Cottoperca trigloides
Euphausia spp,Cottoperca trigloides
Salilota australis,Cottoperca trigloides
Micromesistius australis,Cottoperca trigloides
Colossendeis megalonyx,Cottunculus granulosus
Enteroctopodidae,Cottunculus granulosus
Grimothea gregaria,Cottunculus granulosus
Thymops birsteini,Cottunculus granulosus
Patagonotothen ramsayi,Cottunculus granulosus
Coelorinchus fasciatus,Cottunculus granulosus
Acanthoserolis schythei,Cottunculus granulosus
Neoserolis exigua,Cottunculus granulosus
Eggs Fish,Cottunculus granulosus
Euphausia spp,Cottunculus granulosus
Bacteria,Tetractinellida
Azadinium sp,Tetractinellida
Dinoflagellates heterosol,Tetractinellida
Foraminifera,Tetractinellida
Synechococcus sp,Tetractinellida
Dictyocha speculum,Tetractinellida
Detritus,Cryosignum sp
Cyrtostrombidium sp,Ctenocalanus vanus
Laboea strobila,Ctenocalanus vanus
Lohmanniella sp,Ctenocalanus vanus
Strobilidium sp,Ctenocalanus vanus
Strombidinopsis sp,Ctenocalanus vanus
Strombidium spp,Ctenocalanus vanus
Diatoms pennate,Ctenocalanus vanus
Rhizosolenia crassa,Ctenocalanus vanus
Diatoms benthic,Ctenocalanus vanus
Azadinium sp,Ctenocalanus vanus
Dinoflagellates heterosol,Ctenocalanus vanus
Gymnodinium sp,Ctenocalanus vanus
Dictyocha speculum,Ctenocalanus vanus
Diatoms centric,Ctenocalanus vanus
Pelagobia longicirrata,Ctenocalanus vanus
Pseudosagitta gazellae,Ctenocalanus vanus
Detritus,Ctenodiscus australis
Bacteria,Cumella argentinae
Emiliania huxleyi,Cyclochlamys argentina
Diatoms benthic,Cyclochlamys argentina
Diatoms centric,Cyclochlamys argentina
Diatoms pennate,Cyclochlamys argentina
Bacteria,Cyrtostrombidium sp
Bacteria,Cystodytes antarcticus
Emiliania huxleyi,Cystodytes antarcticus
Phaeocystis antarctica,Cystodytes antarcticus
Diatoms benthic,Cystodytes antarcticus
Diatoms centric,Cystodytes antarcticus
Diatoms pennate,Cystodytes antarcticus
Azadinium sp,Cystodytes antarcticus
Dinoflagellates heterosol,Cystodytes antarcticus
Gymnodinium sp,Cystodytes antarcticus
Detritus,Cystodytes antarcticus
Primnoella scotiae,Dactylanthus antarcticus
Thouarella spp,Dactylanthus antarcticus
Convexella magelhaenica,Dactylanthus antarcticus
Themisto gaudichaudii,Daption capense
Tulpa tulipifera,Daption capense
Doryteuthis gahi,Daption capense
Campanularia sp,Daption capense
Obelia spp,Daption capense
Austrodoris sp,Daption capense
Necromass,Daption capense
Euphausia spp,Daption capense
Pseudosagitta gazellae,Daption capense
Rhincalanus gigas,Daption capense
Sprattus fuegensis,Daption capense
Detritus,Desmosoma sp
Diatoms benthic,Diastylis granulata
Diatoms centric,Diastylis granulata
Diatoms pennate,Diastylis granulata
Detritus,Diastylis granulata
Diatoms benthic,Diastylis hammoniae
Diatoms centric,Diastylis hammoniae
Diatoms pennate,Diastylis hammoniae
Detritus,Diastylis hammoniae
Diatoms benthic,Diastylis planifrons
Diatoms centric,Diastylis planifrons
Diatoms pennate,Diastylis planifrons
Detritus,Diastylis planifrons
Bacteria,Didemnum studeri
Emiliania huxleyi,Didemnum studeri
Phaeocystis antarctica,Didemnum studeri
Diatoms benthic,Didemnum studeri
Diatoms centric,Didemnum studeri
Diatoms pennate,Didemnum studeri
Azadinium sp,Didemnum studeri
Dinoflagellates heterosol,Didemnum studeri
Gymnodinium sp,Didemnum studeri
Detritus,Didemnum studeri
Dissostichus eleginoides,Diomedea sp
Themisto gaudichaudii,Diomedea sp
Necromass,Diomedea sp
Doryteuthis gahi,Diomedea sp
Macrourus holotrachys,Diomedea sp
Euphausia spp,Diomedea sp
Necromass,Diplodontias singularis
Ctenodiscus australis,Diplopteraster clarki
Adelomelon ancilla,Diplopteraster clarki
Fusitriton magellanicus,Diplopteraster clarki
Odontocymbiola magellanica,Diplopteraster clarki
Lithodes confundens,Dissostichus eleginoides
Lithodes couesi,Dissostichus eleginoides
Lithodes turkayi,Dissostichus eleginoides
Agonopsis chiloensis,Dissostichus eleginoides
Macruronus novaezelandiae,Dissostichus eleginoides
Patagonotothen guntheri,Dissostichus eleginoides
Micromesistius australis,Dissostichus eleginoides
Macrourus holotrachys,Dissostichus eleginoides
Notophycis marginata,Dissostichus eleginoides
Patagonotothen ramsayi,Dissostichus eleginoides
Coelorinchus fasciatus,Dissostichus eleginoides
Genypterus blacodes,Dissostichus eleginoides
Iluocoetes fimbriatus,Dissostichus eleginoides
Dissostichus eleginoides,Dissostichus eleginoides
Salilota australis,Dissostichus eleginoides
Sprattus fuegensis,Dissostichus eleginoides
Idanthyrsus macropaleus,Dissostichus eleginoides
Tinerfe cyanea,Dissostichus eleginoides
Lepidonotothen squamifrons,Dissostichus eleginoides
Themisto gaudichaudii,Dissostichus eleginoides
Euphausia spp,Dissostichus eleginoides
Doryteuthis gahi,Dissostichus eleginoides
Enteroctopodidae,Dissostichus eleginoides
Grimothea gregaria,Dissostichus eleginoides
Pagurus comptus,Dissostichus eleginoides
Muraenolepis spp,Dissostichus eleginoides
Pogonolycus elegans,Dissostichus eleginoides
Melanostigma gelatinosum,Dissostichus eleginoides
Natatolana pastorei,Dissostichus eleginoides
Thymops birsteini,Dissostichus eleginoides
Grimothea gregaria,Doryteuthis gahi
Themisto gaudichaudii,Doryteuthis gahi
Doryteuthis gahi,Doryteuthis gahi
Salilota australis,Doryteuthis gahi
Euphausia spp,Doryteuthis gahi
Emiliania huxleyi,Drepanopus forcipatus
Phaeocystis antarctica,Drepanopus forcipatus
Diatoms pennate,Drepanopus forcipatus
Diatoms benthic,Drepanopus forcipatus
Rhizosolenia crassa,Drepanopus forcipatus
Dinoflagellates heterosol,Drepanopus forcipatus
Dictyocha speculum,Drepanopus forcipatus
Detritus,Eatoniella spp
Foraminifera,Echinozone sp
Detritus,Echinozone sp
Detritus,Ekleptostylis heardi
Detritus,Ekleptostylis vemae
Brachiopoda spp,Enteroctopodidae
Enteroctopodidae,Enteroctopodidae
Eurypodius latreillii,Enteroctopodidae
Eurypodius longirostris,Enteroctopodidae
Halicarcinus planatus,Enteroctopodidae
Lithodes confundens,Enteroctopodidae
Lithodes couesi,Enteroctopodidae
Lithodes turkayi,Enteroctopodidae
Grimothea gregaria,Enteroctopodidae
Pagurus comptus,Enteroctopodidae
Pagurus forceps,Enteroctopodidae
Paralomis granulosa,Enteroctopodidae
Paralomis spinosissima,Enteroctopodidae
Sympagurus dimorphus,Enteroctopodidae
Detritus,Eteone spp
Necromass,Eteone spp
Diatoms centric,Eteone spp
Dinoflagellates heterosol,Eteone spp
Boccardia sp,Eteone spp
Eunereis patagonica,Eteone spp
Nicon maculata,Eteone spp
Polydora sp,Eteone spp
Spiophanes sp,Eteone spp
Glycera spp,Eteone spp
Nephtys sp,Eteone spp
Calanus spp,Eubalaena australis
Clausocalanus spp,Eubalaena australis
